#                                                  FILE       SIZE         cksum         sum  solarissum
                 charm_hammer.linuxrh7.3.i686_v.1.0.0.3     133776    2112957847       37260       46614
                       charm_penguin.sunos5.8_v.2.0.1.4     140388    2381583960       15166       50862
                            charm_razor.win2k_v.2.0.0.1     128000    1451219500       24792       37268
         charm_razor.linux2.6.5-7.97-smp.i686_v.2.1.0.2     149160    2517413002       11127       39535
                        charm_saver.hpux11.00_v.2.0.0.2     135168    2809723314       33326       33264
                            charm_saver.win2k_v.2.0.0.2     129024    4072671704       43512        9330
                     crypttool.sunos5.8.sparc_v.2.0.1.3     103752    2298364610       45700       50799
                      crypttool.linux2.4.18-3_v.2.0.1.3      75628    3045942630       25490       52712
                      crypttool.sunos5.8.i386_v.2.0.1.3     116496     910318730       48259        1425
                              crypttool.win2k_v.2.0.1.3     100352    3256855359       19983       12213
                        crypttool.hpuxb.11.00_v.2.0.1.3     126976    1116022089       17484       16599
                             crypttool.aix5.1_v.2.0.1.3     111281      66028508       58618       45955
                     crypttool.sunos5.8.sparc_v.2.1.0.2     143972     317161976       64363       29575
                      crypttool.linux2.4.18-3_v.2.1.0.2      99628     248651161       20216       28548
                      crypttool.sunos5.8.i386_v.2.1.0.2     141488    2728244747       28365       57852
                              crypttool.win2k_v.2.1.0.2     128512    3143510205       50682       36598
                        crypttool.hpuxb.11.00_v.2.1.0.2     151552    2602907135       58110        1617
                             crypttool.aix5.1_v.2.1.0.2     148961    3152687348       64177       18932
                          cursebongo.sunos5.8_v.2.0.0.1     139348    3981776761       62992       62647
                    curseclash.aix5.1.powerpc_v.1.0.1.1     189204    1247555263       03253        9434
                curseclash_flx.sunos5.8.sparc_v.1.0.0.3     268404    3549940038       43413       38925
                curseclash_flx.aix5.1.powerpc_v.1.0.0.3     338539    3544150145       42455       49546
                           cursedevo.sunos5.8_v.1.0.0.3     149932    3585726772       28443       50325
                    cursefire.linuxrh7.3.i686_v.1.1.0.2     154544    1039750187       59895       54814
                     cursefire.sunos5.8.sparc_v.1.0.0.3     158600    2558715541       41015       33900
                          curseflower.mswin32_v.1.0.0.3      90112    1985062419       18896       47647
                    cursegismo.sunos5.8.sparc_v.2.2.0.2     201916    1968491981       55322        4496
                     cursegismo.sunos5.8.i386_v.2.2.0.2     193260     824071257       32241       38052
                   cursegismo.linuxrh7.3.i686_v.2.2.0.2     148776    3858703513       43819       49461
                        cursegismo.linuxrh7.3_v.2.0.0.2     121624    3039175349       38874       23207
                          cursegismo.sunos5.8_v.2.0.0.2     166508    3650214234       13976       40359
                       cursegismo.hpuxb.11.00_v.2.0.0.2     151552    2404513618       64926       21918
                     cursegismo.sunos5.8.i386_v.2.1.0.1     160936    3497525570       10444        5600
                        cursegismo.linuxrh7.3_v.2.1.0.1     121548    3715354245       20944       37150
                          cursegismo.sunos5.8_v.2.1.0.1     172596    2401859147       26922       52333
                         cursegismo.hpux11.00_v.2.1.0.1     155648    1048643453       28701        2274
                     cursegismo.sunos5.8.i386_v.2.0.0.5     155060    1476936287       40325       51145
                             cursehappy.win2k_v.6.0.0.1      80896     902732025       34814        8351
                            cursehappy.rhl7.3_v.6.0.0.1     118872    3335983393       64569       52778
                      cursehappy.hp-uxb.11.00_v.6.0.0.1     151552    3404938804       10577       57918
                          cursehappy.sunos5.8_v.6.0.0.1     152252    3035988714       25161       22509
                          cursehappy.sunos5.8_v.6.1.0.1     161564    4281879084       25472       34846
                         cursehappy.hpux11.00_v.6.1.0.1     159744    1992944929       44034       28301
                             cursehappy.win2k_v.6.1.0.1     150528    1910129873       23158       58895
                        cursehappy.linuxrh7.3_v.6.1.0.1     123184    2161229410       48141        9448
                cursehappy.linuxrh7.3.unknown_v.6.2.0.3     155836    1950211397       07726       51556
                    cursehappy.hpux11.00.risc_v.6.2.0.3     176128    3806395765       02724       44677
                        cursehappy.win2k.i686_v.6.2.0.3     170496    1183909897       02339        3052
                    cursehappy.sunos5.8.sparc_v.6.2.0.3     180936      51457078       37748       44755
                            cursehelper.win2k_v.2.1.0.2     142336     933130206       24878       64656
                         cursehelper.sunos5.8_v.2.1.0.2     152004    3750919642       34972       55494
                        cursehelper.hpux11.00_v.2.1.0.2     147456     481961459       06585       60105
                           cursehelper.aix5.1_v.2.1.0.2     191061     973745972       00104       51956
                       cursehelper.win2k.i686_v.2.2.0.4     162816    2787389769       05516        6932
                   cursehelper.sunos5.8.sparc_v.2.2.0.4     190188    2633929931       02930       36911
                   cursehelper.aix5.1.powerpc_v.2.2.0.4     193597    4012475820       56804       59547
                   cursehelper.hpux11.00.risc_v.2.2.0.4     208896     800678791       45188       11595
                  cursehelper.linuxrh7.3.i686_v.2.2.1.1     175868     475785651       46886       24066
                    cursehelper.sunos5.8.i386_v.2.2.0.4     195336    1988946024       45737       41283
