#                                                  FILE       SIZE         cksum         sum  solarissum
                    charm_fiesta.hp-uxb.11.00_v.1.1.0.7      65536    1285782147       46627        5073
                 charm_hammer.linuxrh7.3.i686_v.1.0.0.3     133776    2112957847       37260       46614
                      charm_penguin.sunos5.10_v.1.0.0.6      48504    3238788139       16251       32168
                       charm_penguin.sunos5.8_v.2.0.0.1     140388    3995698530       51155         188
                       charm_penguin.sunos5.8_v.2.0.1.4     140388    2381583960       15166       50862
                            charm_razor.win2k_v.2.0.0.1     128000    1451219500       24792       37268
         charm_razor.linux2.6.5-7.97-smp.i686_v.2.1.0.2     149160    2517413002       11127       39535
              charm_razor.linux2.6.5-7.97-smp_v.1.1.0.3      56632     226825469       46664       40920
                         charm_razor.sunos5.9_v.1.1.0.3      59568      91737847       17306       42859
                         charm_razor.sunos5.8_v.1.2.0.2      59228    4192771466       38533       62528
                     charm_razor.linuxsuse9.0_v.1.2.0.2      56632     680536732       24974       59306
                     charm_saver.hp-uxb.11.11_v.1.0.0.1      69632    3630848700       37489       50075
                        charm_saver.hpux11.00_v.2.0.0.2     135168    2809723314       33326       33264
                            charm_saver.win2k_v.2.0.0.2     129024    4072671704       43512        9330
                           charm_uno.sunos5.9_v.1.1.0.4      59068     454980940       19934       34383
                        charm_vortex.sunos5.8_v.1.0.0.2     130904     962184551       43641       40306
                        charm_vortex.sunos5.8_v.1.0.1.2     134012      25154499       02604       13777
            charm_hydrant.v1.0.0.1.sunos5.9_v.solaris_8      44036    1037772173       34535       63790
                  charm_uno.v2.0.0.3.linuxrh7.3_v.linux     104832    2378762621       46734       27954
                charm_uno.v1.0.0.8.sunos5.9_v.solaris_9      41712    2961548002       49558       62226
               crypttool.linux2.4.21-37.elsmp_v.1.5.0.8      11072    2677364788       40689       57717
                     crypttool.sunos5.8.sparc_v.2.0.1.3     103752    2298364610       45700       50799
                      crypttool.linux2.4.18-3_v.2.0.1.3      75628    3045942630       25490       52712
                      crypttool.sunos5.8.i386_v.2.0.1.3     116496     910318730       48259        1425
                              crypttool.win2k_v.2.0.1.3     100352    3256855359       19983       12213
                        crypttool.hpuxb.11.00_v.2.0.1.3     126976    1116022089       17484       16599
                             crypttool.aix5.1_v.2.0.1.3     111281      66028508       58618       45955
                     crypttool.sunos5.8.sparc_v.2.1.0.2     143972     317161976       64363       29575
                      crypttool.linux2.4.18-3_v.2.1.0.2      99628     248651161       20216       28548
                      crypttool.sunos5.8.i386_v.2.1.0.2     141488    2728244747       28365       57852
                              crypttool.win2k_v.2.1.0.2     128512    3143510205       50682       36598
                        crypttool.hpuxb.11.00_v.2.1.0.2     151552    2602907135       58110        1617
                             crypttool.aix5.1_v.2.1.0.2     148961    3152687348       64177       18932
                     crypttool.linux2.4.18-3_v.2.0.0.15      75500    4219473146       54809       40127
                          cursegismo.sunos5.8_v.1.1.1.1      56032    2119034623       44366        5880
                          cursegismo.sunos5.9_v.1.1.1.1      59404    3431640361       44871       47291
                    cursehydrant.hp-uxb.11.00_v.6.0.0.6      69632    2730536067       23201       29195
                    cursehydrant.hp-uxb.11.11_v.6.0.0.6      69632    3469957415       04973       16073
                          cursemagic.sunos5.8_v.1.1.0.3      65672    3682722919       42991       61390
                          cursemagic.sunos5.9_v.1.1.0.3      65956     821555292       03972       28658
                         cursebingo.sunos5.10_v.1.0.1.2      41444    2200294884       11804       21282
                         cursebongo.sunos5.10_v.1.0.0.4      31580    2547692562       30492       38426
                          cursebongo.sunos5.8_v.2.0.0.1     139348    3981776761       62992       62647
                          cursebongo.sunos5.8_v.1.1.0.1      67204    1662188603       25032        4384
                        cursechicken.sunos5.8_v.1.0.1.4      62604    3169135528       07424       61567
                        cursechicken.sunos5.8_v.1.0.0.1      57116    1988781962       51659       42621
                    curseclash.aix5.1.powerpc_v.1.0.1.1     189204    1247555263       03253        9434
                curseclash_flx.sunos5.8.sparc_v.1.0.0.3     268404    3549940038       43413       38925
                curseclash_flx.aix5.1.powerpc_v.1.0.0.3     338539    3544150145       42455       49546
                           cursedevo.sunos5.8_v.1.0.0.3     149932    3585726772       28443       50325
                    cursefire.linuxrh7.3.i686_v.1.1.0.2     154544    1039750187       59895       54814
                     cursefire.sunos5.8.sparc_v.1.0.0.3     158600    2558715541       41015       33900
                          curseflower.mswin32_v.1.0.0.3      90112    1985062419       18896       47647
                          cursegismo.sunos5.8_v.1.1.0.4      58928    2212791441       32684       63118
                        cursegismo.linuxrh7.3_v.2.0.0.2     121624    3039175349       38874       23207
                          cursegismo.sunos5.8_v.2.0.0.2     166508    3650214234       13976       40359
                       cursegismo.hpuxb.11.00_v.2.0.0.2     151552    2404513618       64926       21918
                     cursegismo.sunos5.8.i386_v.2.1.0.1     160936    3497525570       10444        5600
                        cursegismo.linuxrh7.3_v.2.1.0.1     121548    3715354245       20944       37150
                          cursegismo.sunos5.8_v.2.1.0.1     172596    2401859147       26922       52333
                         cursegismo.hpux11.00_v.2.1.0.1     155648    1048643453       28701        2274
                          cursegismo.sunos5.8_v.1.2.0.2      65932    3555538394       61509       34882
                    cursegismo.sunos5.8.sparc_v.2.2.0.2     201916    1968491981       55322        4496
                     cursegismo.sunos5.8.i386_v.2.2.0.2     193260     824071257       32241       38052
                   cursegismo.linuxrh7.3.i686_v.2.2.0.2     148776    3858703513       43819       49461
                     cursegismo.sunos5.8.i386_v.2.0.0.5     155060    1476936287       40325       51145
                      cursehappy.hp-uxb.11.00_v.5.0.0.5      77824    3793389417       54798       22769
                          cursehappy.sunos5.8_v.5.0.0.5      74120    4009497509       39508       57634
                           cursehappy.mswin32_v.5.0.0.5      94208     208482002       07468       60091
                      cursehappy.hp-uxb.11.11_v.4.1.2.4    1859584    2302649716       33019       18135
                             cursehappy.win2k_v.6.0.0.1      80896     902732025       34814        8351
                            cursehappy.rhl7.3_v.6.0.0.1     118872    3335983393       64569       52778
                      cursehappy.hp-uxb.11.00_v.6.0.0.1     151552    3404938804       10577       57918
                          cursehappy.sunos5.8_v.6.0.0.1     152252    3035988714       25161       22509
                          cursehappy.sunos5.8_v.6.1.0.1     161564    4281879084       25472       34846
                         cursehappy.hpux11.00_v.6.1.0.1     159744    1992944929       44034       28301
                             cursehappy.win2k_v.6.1.0.1     150528    1910129873       23158       58895
                        cursehappy.linuxrh7.3_v.6.1.0.1     123184    2161229410       48141        9448
                cursehappy.linuxrh7.3.unknown_v.6.2.0.3     155836    1950211397       07726       51556
                    cursehappy.hpux11.00.risc_v.6.2.0.3     176128    3806395765       02724       44677
                        cursehappy.win2k.i686_v.6.2.0.3     170496    1183909897       02339        3052
                    cursehappy.sunos5.8.sparc_v.6.2.0.3     180936      51457078       37748       44755
                            cursehelper.win2k_v.2.1.0.2     142336     933130206       24878       64656
                         cursehelper.sunos5.8_v.2.1.0.2     152004    3750919642       34972       55494
                        cursehelper.hpux11.00_v.2.1.0.2     147456     481961459       06585       60105
                           cursehelper.aix5.1_v.2.1.0.2     191061     973745972       00104       51956
                       cursehelper.win2k.i686_v.2.2.0.4     162816    2787389769       05516        6932
                   cursehelper.sunos5.8.sparc_v.2.2.0.4     190188    2633929931       02930       36911
                   cursehelper.aix5.1.powerpc_v.2.2.0.4     193597    4012475820       56804       59547
                   cursehelper.hpux11.00.risc_v.2.2.0.4     208896     800678791       45188       11595
                     cursehelper.hp-uxb.11.00_v.1.1.0.1      73728     695320636       13786       29916
                         cursehelper.sunos5.8_v.1.1.0.1      67180    1452211910       54509       13514
                  cursehelper.linuxrh7.3.i686_v.2.2.1.1     175868     475785651       46886       24066
                    cursehelper.sunos5.8.i386_v.2.2.0.4     195336    1988946024       45737       41283
                 cursehole_flx.aix5.1.powerpc_v.1.0.0.4     377371    2681554099       37509       63719
                 cursehole_flx.sunos5.8.sparc_v.1.0.0.3     299096    4141793404       37558       55633
                    cursehydrant.hp-uxb.11.00_v.6.1.0.2      65536    2552445006       63293       61889
                        cursehydrant.sunos5.8_v.6.1.0.2      62104     542450193       55512       43779
                            cursejoker.aix5.1_v.1.0.0.4     179957     930112664       03692        7907
                   cursekettle.hpux11.00.risc_v.1.1.0.2     176128    2364719211       16877       26818
                         cursekettle.sunos5.8_v.1.0.0.2      60108    2243636501       10825       46330
                           cursekiln.sunos5.8_v.1.0.0.2     176404    2350204552       27241       29410
                           cursekiln.sunos5.8_v.1.0.1.3     176692    4029566111       43116        8599
                     curselion.aix5.1.powerpc_v.2.0.0.2     222888    1185259887       59082       24042
                          cursemagic.sunos5.8_v.1.0.0.0      63052    2795023847       62889       24380
                          cursemagic.sunos5.8_v.1.2.0.2      69968    1487201815       64171       47485
                            cursemagic.aix5.1_v.2.1.0.3     224264    2892482690       20212       56702
                        cursemagic.linuxrh7.3_v.2.1.0.3     146812    3739978016       60850       60509
                          cursemagic.sunos5.8_v.2.1.0.3     167836     598611910       30306       20384
                         cursemagic.hpux11.00_v.2.1.0.3     163840    2684793360       63580       63601
                        cursemagic.solaris5.8_v.2.0.1.1     140248    1248938891       58383       16679
                        cursemagic.linuxrh7.3_v.2.0.1.1     113432    3153799582       01885       22339
                         cursemagic.hpux11.00_v.2.0.1.1     139264    1919573794       54402        9001
                            cursemagic.aix5.1_v.2.0.1.1     198300    2876776973       04202       14685
              cursemagic.linux2.4.21-37.elsmp_v.1.2.0.4      53408    2441618935       64676        3295
                          cursemagic.sunos5.8_v.1.3.0.5      74620    3234158720       23749       13651
              cursemagic.linux2.4.21-37.elsmp_v.1.3.0.5      56724     207296234       22777       59489
                            cursemagic.rhl7.3_v.1.3.0.5      62772    3162802334       44131        3770
                        cursemagic.linuxrh7.3_v.2.0.0.1     113432     167693029       55807       14486
                        cursemagic.solaris5.8_v.2.0.0.1     140624    1690841195       12267       19685
                            cursenag.sunos5.8_v.1.0.0.1     148824    4216236752       48499       25454
                          cursequake.sunos5.8_v.1.0.0.2     138728    2219816470       53554       24668
                          cursequake.sunos5.8_v.1.1.0.4     151108     706987852       08863       21242
                         curserazor.sunos5.10_v.1.1.1.1      39676    3416494995       15730       22487
                         curserazor.sunos5.10_v.1.2.0.7      65384     305811214       01661       25903
                         curserazor.sunos5.10_v.1.3.0.5      53456     733184331       07508       63261
                           curserazor.mswin32_v.1.3.0.5      86016     874321155       19600       59845
                          curserazor.sunos5.8_v.1.3.1.8      61532     451177918       40120       17665
                           curserazor.mswin32_v.1.3.1.8      86016    2208599433       41162       58749
                             curserazor.win2k_v.2.0.0.5     142336    3614550981       32141       38186
                          curserazor.sunos5.8_v.2.0.0.5     151712     266392035       36062       20560
                             curserazor.win2k_v.2.0.1.1     145920    3665025734       52447       19736
                          curserazor.sunos5.8_v.2.0.1.1     156956    2913942188       43306       37613
                curseroot.linux2.6.5-7.97-smp_v.2.0.0.3     139368    2738524079       30084       17788
                             curseroot.aix5.1_v.2.0.0.3     206940    4220672519       01458       41704
                              curseroot.win2k_v.2.0.0.3      83968    3199238746       00188       16711
                           curseroot.sunos5.8_v.2.0.0.3     156004    1488178427       29645       44513
                           curseroot.sunos5.8_v.2.1.0.8     174600    3865000465       62188         465
                          curseroot.hpux11.00_v.2.1.0.8     159744     442481978       53445       33604
                             curseroot.aix5.1_v.2.1.0.8     212828    1016031690       09045       37291
                curseroot.linux2.6.5-7.97-smp_v.2.1.0.8     152164    2191768342       35020       43082
                              curseroot.win2k_v.2.1.0.8     153088    1978315693       29292         787
